clk,period,time
1,999,1346107
2,492,676606
3,300,408807
1,999,1347107
2,507,677114
3,317,409124
1,999,1348106
2,492,677607
3,282,409406
1,1000,1349106
2,507,678114
3,301,409708
1,1000,1350107
2,492,678607
3,298,410006
1,1000,1351107
2,507,679114
3,300,410306
1,999,1352106
2,492,679607
3,309,410616
1,1000,1353107
2,507,680114
3,290,410906
1,1000,1354107
2,492,680607
3,301,411208
1,999,1355107
2,507,681114
3,298,411506
1,999,1356107
2,492,681607
3,300,411807
1,999,1357106
2,507,682114
3,317,412124
1,1000,1358107
2,492,682607
3,282,412406
1,1000,1359107
2,507,683114
3,301,412708
1,1000,1360107
2,492,683606
3,298,413006
1,999,1361106
2,507,684114
3,300,413306
1,1000,1362107
2,492,684607
3,309,413616
1,1000,1363107
2,507,685114
3,290,413906
1,1000,1364107
2,492,685607
3,301,414208
1,999,1365106
2,507,686114
3,298,414506
1,1000,1366106
2,492,686606
3,300,414807
1,1000,1367107
2,507,687114
3,317,415124
1,1000,1368107
2,492,687607
3,282,415406
1,999,1369107
2,507,688114
3,301,415708
1,999,1370106
2,492,688607
3,298,416006
1,1000,1371107
2,507,689114
3,300,416306
1,1000,1372107
2,492,689606
3,309,416616
1,999,1373106
2,507,690114
3,290,416906
1,1000,1374106
2,492,690606
3,301,417208
1,1000,1375107
2,507,691114
3,298,417506
1,999,1376107
2,492,691607
3,300,417807
1,999,1377106
2,507,692114
3,317,418124
1,1000,1378106
2,492,692607
3,282,418406
1,1000,1379106
2,507,693114
3,301,418708
1,1000,1380107
2,492,693606
3,298,419006
1,999,1381107
2,507,694114
3,300,419306
1,999,1382106
2,492,694607
3,309,419616
1,1000,1383107
2,507,695114
3,290,419906
1,999,1384107
2,492,695607
3,301,420208
1,999,1385106
2,507,696114
3,298,420506
1,999,1386106
2,492,696606
3,300,420807
1,1000,1387107
2,507,697114
3,316,421123
1,999,1388106
2,492,697607
3,282,421406
1,1000,1389106
2,507,698114
3,301,421708
1,1000,1390107
2,492,698607
3,298,422006
1,1000,1391107
2,507,699114
3,299,422306
1,999,1392107
2,492,699607
3,309,422616
1,1000,1393107
2,507,700114
3,290,422906
1,999,1394106
2,492,700606
3,301,423208
1,1000,1395106
2,507,701114
3,298,423506
1,1000,1396107
2,492,701606
3,300,423807
1,999,1397106
2,507,702114
3,317,424124
1,999,1398106
2,492,702607
3,282,424406
1,1000,1399107
2,507,703114
3,301,424708
1,1000,1400107
2,492,703607
3,298,425006
1,999,1401107
2,507,704114
3,300,425306
1,999,1402106
2,492,704607
3,309,425616
1,999,1403106
2,507,705114
3,290,425906
1,1000,1404107
2,492,705606
3,301,426208
1,1000,1405107
2,507,706114
3,298,426506
1,999,1406106
2,492,706606
3,300,426807
1,999,1407106
2,507,707114
3,317,427124
1,1000,1408107
2,492,707606
3,282,427406
1,999,1409106
2,507,708114
3,301,427708
1,1000,1410106
2,492,708607
3,298,428006
1,999,1411106
2,507,709114
3,299,428306
1,1000,1412106
2,492,709606
3,309,428616
1,1000,1413106
2,507,710114
3,290,428906
1,1000,1414106
2,492,710607
3,301,429208
1,999,1415106
2,507,711114
3,298,429506
1,1000,1416107
2,492,711607
3,300,429807
1,999,1417106
2,507,712114
3,317,430124
1,1000,1418107
2,492,712607
3,282,430406
1,999,1419106
2,507,713114
3,301,430708
1,1000,1420107
2,492,713607
3,298,431006
1,999,1421106
2,507,714114
3,300,431306
1,1000,1422107
2,492,714606
3,309,431616
1,999,1423106
2,507,715114
3,290,431906
1,1000,1424107
2,492,715606
3,301,432208
1,1000,1425107
2,507,716114
3,298,432506
1,999,1426107
2,492,716607
3,300,432806
1,999,1427106
2,507,717114
3,317,433124
1,1000,1428107
2,492,717606
3,282,433406
1,1000,1429107
2,507,718114
3,301,433708
1,999,1430107
2,492,718607
3,298,434006
1,999,1431106
2,507,719114
3,300,434306
1,999,1432106
2,492,719606
3,309,434616
1,1000,1433107
2,507,720114
3,290,434906
1,999,1434106
2,492,720607
3,301,435208
1,1000,1435106
2,507,721114
3,298,435506
1,1000,1436107
2,492,721607
3,300,435807
1,1000,1437107
2,507,722114
3,317,436124
1,1000,1438107
2,492,722607
3,282,436406
1,999,1439106
2,507,723114
3,301,436708
1,1000,1440106
2,492,723606
3,298,437006
1,1000,1441107
2,507,724114
3,300,437306
1,999,1442107
2,492,724607
3,309,437616
1,999,1443106
2,507,725114
3,290,437906
1,1000,1444107
2,492,725607
3,301,438208
1,999,1445106
2,507,726114
3,298,438506
1,1000,1446107
2,492,726606
3,300,438806
1,1000,1447107
2,507,727114
3,317,439124
1,999,1448106
2,492,727606
3,282,439406
1,1000,1449106
2,507,728114
3,301,439708
1,1000,1450107
2,492,728606
3,298,440006
1,999,1451106
2,507,729114
3,300,440306
1,1000,1452107
2,492,729607
3,309,440616
1,999,1453106
2,507,730114
3,290,440906
1,1000,1454106
2,492,730607
3,301,441208
1,1000,1455107
2,507,731114
3,298,441506
1,1000,1456107
2,492,731607
3,300,441807
1,999,1457106
2,507,732114
3,316,442124
1,1000,1458107
2,492,732606
3,282,442406
1,999,1459106
2,507,733114
3,301,442708
1,1000,1460106
2,492,733607
3,298,443006
1,1000,1461106
2,507,734114
3,299,443306
1,1000,1462107
2,492,734606
3,309,443616
1,1000,1463107
2,507,735114
3,290,443906
1,1000,1464107
2,492,735606
3,301,444208
1,999,1465106
2,507,736114
3,298,444506
1,1000,1466106
2,492,736607
3,300,444807
1,1000,1467107
2,507,737114
3,316,445123
1,1000,1468107
2,492,737606
3,282,445406
1,999,1469106
2,507,738114
3,301,445708
1,1000,1470106
2,492,738606
3,298,446006
1,1000,1471107
2,507,739114
3,299,446306
1,999,1472106
2,492,739607
3,309,446616
1,1000,1473107
2,507,740114
3,290,446906
1,1000,1474107
2,492,740607
3,301,447208
1,999,1475106
2,507,741114
3,298,447506
1,1000,1476106
2,492,741606
3,300,447807
1,1000,1477107
2,507,742114
3,317,448124
1,999,1478106
2,492,742607
3,282,448406
1,1000,1479107
2,507,743114
3,301,448708
1,999,1480106
2,492,743606
3,298,449006
1,1000,1481107
2,507,744114
3,300,449307
1,999,1482106
2,492,744607
3,309,449616
1,1000,1483107
2,507,745114
3,290,449906
1,999,1484106
2,492,745607
3,301,450208
1,1000,1485107
2,507,746114
3,298,450506
1,999,1486106
2,492,746606
3,300,450807
1,1000,1487106
2,507,747114
3,317,451124
1,1000,1488107
2,492,747607
3,282,451406
1,999,1489107
2,507,748114
3,301,451708
1,999,1490106
2,492,748607
3,298,452006
1,999,1491106
2,507,749114
3,300,452306
1,1000,1492107
2,492,749607
3,309,452616
1,999,1493106
2,507,750114
3,290,452906
1,1000,1494107
2,492,750606
3,301,453208
1,1000,1495107
2,507,751114
3,298,453506
1,999,1496107
2,492,751606
3,300,453807
1,1000,1497107
2,507,752114
3,316,454123
1,1000,1498107
2,492,752606
3,282,454406
1,999,1499106
2,507,753114
3,301,454708
1,1000,1500107
2,492,753607
3,298,455006
1,1000,1501107
2,507,754114
3,300,455306
1,999,1502106
2,492,754607
3,309,455616
1,1000,1503106
2,507,755114
3,290,455906
1,1000,1504107
2,492,755606
3,301,456208
1,999,1505106
2,507,756114
3,298,456506
1,1000,1506106
2,492,756607
3,300,456806
1,999,1507106
2,507,757114
3,317,457124
1,999,1508106
2,492,757606
3,282,457406
1,1000,1509106
2,507,758114
3,301,457708
1,999,1510106
2,492,758607
3,298,458006
1,999,1511106
2,507,759114
3,299,458306
1,1000,1512106
2,492,759607
3,309,458616
1,1000,1513106
2,507,760114
3,290,458906
1,999,1514106
2,492,760606
3,301,459208
1,999,1515106
2,507,761114
3,298,459506
1,1000,1516106
2,492,761607
3,300,459807
1,1000,1517106
2,507,762114
3,316,460123
1,1000,1518106
2,492,762607
3,282,460406
1,999,1519106
2,507,763114
3,301,460708
1,1000,1520106
2,492,763606
3,298,461006
1,999,1521106
2,507,764114
3,300,461306
1,1000,1522106
2,492,764606
3,309,461616
1,999,1523106
2,507,765114
3,290,461906
1,999,1524106
2,492,765606
3,301,462208
1,1000,1525106
2,507,766114
3,298,462506
1,999,1526106
2,492,766607
3,300,462807
1,1000,1527106
2,507,767114
3,317,463124
1,1000,1528106
2,492,767606
3,282,463406
1,1000,1529106
2,507,768114
3,301,463708
1,999,1530106
2,492,768607
3,298,464006
1,1000,1531106
2,507,769114
3,300,464306
1,999,1532106
2,492,769606
3,309,464616
1,1000,1533106
2,507,770114
3,290,464906
1,999,1534106
2,492,770607
3,301,465208
1,1000,1535106
2,507,771114
3,298,465506
1,999,1536106
2,492,771607
3,300,465807
1,1000,1537106
2,507,772114
3,317,466124
1,1000,1538106
2,492,772606
3,282,466406
1,999,1539106
2,507,773114
3,301,466708
1,999,1540106
2,492,773607
3,298,467006
1,1000,1541106
2,507,774114
3,299,467306
1,1000,1542106
2,492,774607
3,309,467616
1,999,1543106
2,507,775114
3,290,467906
1,999,1544106
2,492,775607
3,301,468208
1,1000,1545106
2,507,776114
3,298,468506
1,1000,1546106
2,492,776607
3,300,468806
1,1000,1547106
2,507,777114
3,317,469124
1,999,1548106
2,492,777606
3,282,469406
1,999,1549106
2,507,778114
3,301,469708
1,1000,1550106
2,492,778607
3,298,470006
1,999,1551106
2,507,779114
3,299,470306
1,1000,1552106
2,492,779607
3,309,470616
1,999,1553106
2,507,780114
3,290,470906
1,1000,1554106
2,492,780606
3,301,471208
1,999,1555106
2,507,781114
3,298,471506
1,1000,1556106
2,492,781606
3,300,471807
1,999,1557106
2,507,782114
3,317,472124
1,1000,1558106
2,492,782607
3,282,472406
1,999,1559106
2,507,783114
3,301,472708
1,1000,1560106
2,492,783607
3,298,473006
1,999,1561106
2,507,784114
3,300,473306
1,1000,1562106
2,492,784607
3,309,473616
1,1000,1563106
2,507,785114
3,290,473906
1,1000,1564106
2,492,785606
3,301,474208
1,999,1565106
2,507,786114
3,298,474506
1,999,1566106
2,492,786606
3,300,474806
1,1000,1567106
2,507,787114
3,317,475124
1,999,1568106
2,492,787607
3,282,475406
1,999,1569106
2,507,788114
3,301,475708
1,1000,1570106
2,492,788607
3,298,476006
1,1000,1571106
2,507,789114
3,299,476306
1,1000,1572106
2,492,789607
3,309,476616
1,999,1573106
2,507,790114
3,290,476906
1,999,1574106
2,492,790606
3,301,477208
1,1000,1575106
2,507,791114
3,298,477506
1,1000,1576106
2,492,791607
3,300,477806
1,999,1577106
2,507,792114
3,317,478124
1,999,1578106
2,492,792607
3,282,478406
1,1000,1579106
2,507,793114
3,301,478708
1,1000,1580106
2,492,793607
3,298,479006
1,999,1581106
2,507,794114
3,300,479306
1,999,1582106
2,492,794607
3,309,479616
1,1000,1583106
2,507,795114
3,290,479906
1,1000,1584106
2,492,795606
3,301,480208
1,1000,1585106
2,507,796114
3,298,480506
1,1000,1586106
2,492,796607
3,300,480807
1,999,1587106
2,507,797114
3,316,481123
1,1000,1588106
2,492,797607
3,282,481406
1,1000,1589106
2,507,798114
3,301,481708
1,1000,1590106
2,492,798606
3,298,482006
1,999,1591106
2,507,799114
3,299,482306
1,1000,1592106
2,492,799607
3,309,482616
1,999,1593106
2,507,800114
3,290,482906
1,1000,1594106
2,492,800607
3,301,483208
1,1000,1595106
2,507,801114
3,298,483506
1,1000,1596106
2,492,801606
3,300,483807
1,999,1597106
2,507,802114
3,316,484123
1,999,1598106
2,492,802607
3,282,484406
1,1000,1599106
2,507,803114
3,301,484708
1,1000,1600106
2,492,803606
3,298,485006
1,999,1601106
2,507,804114
3,299,485306
1,999,1602106
2,492,804606
3,309,485616
1,1000,1603106
2,507,805114
3,290,485906
1,999,1604106
2,492,805607
3,301,486208
1,999,1605106
2,507,806114
3,298,486506
1,1000,1606106
2,492,806607
3,300,486807
1,1000,1607106
2,507,807114
3,317,487124
1,999,1608106
2,492,807607
3,282,487406
1,999,1609106
2,507,808114
3,301,487708
1,1000,1610106
2,492,808607
3,298,488006
1,1000,1611106
2,507,809114
3,300,488306
1,999,1612106
2,492,809607
3,309,488616
1,999,1613106
2,507,810114
3,290,488906
1,999,1614106
2,492,810607
3,301,489208
1,1000,1615106
2,507,811114
3,298,489506
1,1000,1616106
2,492,811607
3,300,489807
1,999,1617106
2,507,812114
3,317,490124
1,999,1618106
2,492,812606
3,282,490406
1,999,1619106
2,507,813114
3,301,490708
1,1000,1620106
2,492,813607
3,298,491006
1,1000,1621106
2,507,814114
3,300,491307
1,999,1622106
2,492,814607
3,309,491616
1,999,1623106
2,507,815114
3,290,491906
1,1000,1624106
2,492,815607
3,301,492208
1,999,1625106
2,507,816114
3,298,492506
1,1000,1626106
2,492,816607
3,300,492807
1,999,1627106
2,507,817114
3,316,493123
1,1000,1628106
2,492,817607
3,282,493406
1,999,1629106
2,507,818114
3,301,493708
1,1000,1630106
2,492,818607
3,298,494006
1,999,1631106
2,507,819114
3,299,494306
1,1000,1632106
2,492,819606
3,309,494616
1,999,1633106
2,507,820114
3,290,494906
1,1000,1634106
2,492,820607
3,301,495208
1,999,1635106
2,507,821114
3,298,495506
1,1000,1636106
2,492,821607
3,300,495807
1,1000,1637106
2,507,822114
3,317,496124
1,1000,1638106
2,492,822606
3,282,496406
1,999,1639106
2,507,823114
3,301,496708
1,1000,1640106
2,492,823607
3,298,497006
1,999,1641106
2,507,824114
3,300,497307
1,1000,1642106
2,492,824607
3,309,497616
1,1000,1643106
2,507,825114
3,290,497906
1,1000,1644106
2,492,825606
3,301,498208
1,1000,1645106
2,507,826114
3,298,498506
1,999,1646106
2,492,826607
3,300,498807
1,999,1647106
2,507,827114
3,316,499124
1,1000,1648106
2,492,827607
3,282,499406
1,1000,1649106
2,507,828114
3,301,499708
1,999,1650106
2,492,828606
3,298,500006
1,999,1651106
2,507,829114
3,300,500306
1,1000,1652106
2,492,829607
3,309,500616
1,1000,1653106
2,507,830114
3,290,500906
1,1000,1654106
2,492,830606
3,301,501208
1,999,1655106
2,507,831114
3,298,501506
1,999,1656106
2,492,831606
3,300,501806
1,1000,1657106
2,507,832114
3,317,502124
1,1000,1658106
2,492,832607
3,282,502406
1,999,1659106
2,507,833114
3,301,502708
1,1000,1660106
2,492,833607
3,298,503006
1,1000,1661106
2,507,834114
3,300,503306
1,999,1662106
2,492,834607
3,309,503616
1,999,1663106
2,507,835114
3,290,503906
1,999,1664106
2,492,835606
3,301,504208
1,1000,1665106
2,507,836114
3,298,504506
1,999,1666106
2,492,836607
3,300,504807
1,1000,1667106
2,507,837114
3,317,505124
1,999,1668106
2,492,837607
3,282,505406
1,1000,1669106
2,507,838114
3,301,505708
1,999,1670106
2,492,838606
3,298,506006
1,1000,1671106
2,507,839114
3,299,506306
1,999,1672106
2,492,839606
3,309,506616
1,1000,1673106
2,507,840114
3,290,506906
1,1000,1674106
2,492,840607
3,301,507208
1,1000,1675106
2,507,841114
3,298,507506
1,999,1676106
2,492,841607
3,300,507807
1,1000,1677106
2,507,842114
3,316,508123
1,1000,1678106
2,492,842607
3,282,508406
1,999,1679106
2,507,843114
3,301,508708
1,1000,1680106
2,492,843607
3,298,509006
1,1000,1681106
2,507,844114
3,299,509306
1,1000,1682106
2,492,844607
3,309,509616
1,1000,1683106
2,507,845114
3,290,509906
1,1000,1684106
2,492,845607
3,301,510208
1,999,1685106
2,507,846114
3,298,510506
1,1000,1686106
2,492,846607
3,300,510806
1,999,1687106
2,507,847114
3,317,511124
1,1000,1688106
2,492,847606
3,282,511406
1,999,1689106
2,507,848114
3,301,511708
1,1000,1690106
2,492,848607
3,298,512006
1,999,1691106
2,507,849114
3,300,512306
1,1000,1692106
2,492,849607
3,309,512616
1,999,1693106
2,507,850114
3,290,512906
1,1000,1694106
2,492,850607
3,301,513208
1,1000,1695106
2,507,851114
3,298,513506
1,999,1696106
2,492,851607
3,300,513806
1,999,1697106
2,507,852114
3,317,514124
1,1000,1698106
2,492,852606
3,282,514406
1,1000,1699106
2,507,853114
3,301,514708
1,999,1700106
2,492,853607
3,298,515006
1,999,1701106
2,507,854114
3,300,515306
1,1000,1702106
2,492,854607
3,309,515616
1,1000,1703106
2,507,855114
3,290,515906
1,1000,1704106
2,492,855606
3,301,516208
1,999,1705106
2,507,856114
3,298,516506
1,1000,1706106
2,492,856606
3,300,516806
1,999,1707106
2,507,857114
3,317,517124
1,1000,1708106
2,492,857606
3,282,517406
1,999,1709106
2,507,858114
3,301,517708
1,1000,1710106
2,492,858606
3,298,518006
1,999,1711106
2,507,859114
3,299,518306
1,1000,1712106
2,492,859607
3,309,518616
1,999,1713106
2,507,860114
3,290,518906
1,1000,1714106
2,492,860607
3,301,519208
1,999,1715106
2,507,861114
3,298,519506
1,999,1716106
2,492,861606
3,300,519807
1,999,1717106
2,507,862114
3,317,520124
1,1000,1718106
2,492,862606
3,282,520406
1,1000,1719106
2,507,863114
3,301,520708
1,1000,1720106
2,492,863607
3,298,521006
1,1000,1721106
2,507,864114
3,299,521306
1,999,1722106
2,492,864607
3,309,521616
1,1000,1723106
2,507,865114
3,290,521906
1,999,1724106
2,492,865607
3,301,522208
1,1000,1725106
2,507,866114
3,298,522506
1,999,1726106
2,492,866607
3,300,522807
1,1000,1727106
2,507,867114
3,316,523123
1,999,1728106
2,492,867606
3,282,523406
1,1000,1729106
2,507,868114
3,301,523708
1,999,1730106
2,492,868606
3,298,524006
1,1000,1731106
2,507,869114
3,299,524306
1,1000,1732106
2,492,869607
3,309,524616
1,1000,1733106
2,507,870114
3,290,524906
1,999,1734106
2,492,870606
3,301,525208
1,1000,1735106
2,507,871114
3,298,525506
1,1000,1736106
2,492,871606
3,300,525806
1,999,1737106
2,507,872114
3,317,526124
1,999,1738106
2,492,872607
3,282,526406
1,1000,1739106
2,507,873114
3,301,526708
1,1000,1740106
2,492,873606
3,298,527006
1,999,1741106
2,507,874114
3,300,527306
1,1000,1742106
2,492,874606
3,309,527616
1,999,1743106
2,507,875114
3,290,527906
1,1000,1744106
2,492,875607
3,301,528208
1,999,1745106
2,507,876114
3,298,528506
1,1000,1746106
2,492,876606
3,300,528807
1,999,1747106
2,507,877114
3,316,529124
1,1000,1748106
2,492,877607
3,282,529406
1,999,1749106
2,507,878114
3,301,529708
1,1000,1750106
2,492,878607
3,298,530006
1,999,1751106
2,507,879114
3,300,530306
1,1000,1752106
2,492,879606
3,309,530616
1,999,1753106
2,507,880114
3,290,530906
1,1000,1754106
2,492,880606
3,301,531208
1,999,1755106
2,507,881114
3,298,531506
1,1000,1756106
2,492,881607
3,300,531806
1,999,1757106
2,507,882114
3,317,532123
1,1000,1758106
2,492,882606
3,282,532406
1,999,1759106
2,507,883114
3,301,532708
1,1000,1760106
2,492,883607
3,298,533006
1,1000,1761106
2,507,884114
3,300,533306
1,999,1762106
2,492,884607
3,309,533616
1,1000,1763106
2,507,885114
3,290,533906
1,1000,1764106
2,492,885607
3,301,534208
1,999,1765106
2,507,886114
3,298,534506
1,1000,1766106
2,492,886607
3,300,534806
1,1000,1767106
2,507,887114
3,317,535124
1,1000,1768106
2,492,887607
3,282,535406
1,999,1769106
2,507,888114
3,301,535708
1,1000,1770106
2,492,888606
3,298,536006
1,1000,1771106
2,507,889114
3,300,536306
1,1000,1772106
2,492,889606
3,309,536616
1,1000,1773106
2,507,890114
3,290,536906
1,1000,1774106
2,492,890606
3,301,537208
1,1000,1775106
2,507,891114
3,298,537506
1,999,1776106
2,492,891607
3,300,537807
1,1000,1777106
2,507,892114
3,316,538123
1,1000,1778106
2,492,892607
3,282,538406
1,1000,1779106
2,507,893114
3,301,538708
1,999,1780106
2,492,893606
3,298,539006
1,1000,1781106
2,507,894114
3,300,539306
1,999,1782106
2,492,894607
3,309,539616
1,1000,1783106
2,507,895114
3,290,539906
1,999,1784106
2,492,895607
3,301,540208
1,1000,1785106
2,507,896114
3,298,540506
1,999,1786106
2,492,896607
3,300,540807
1,1000,1787106
2,507,897114
3,317,541124
1,999,1788106
2,492,897606
3,282,541406
1,1000,1789106
2,507,898114
3,301,541708
1,1000,1790106
2,492,898607
3,298,542006
1,1000,1791106
2,507,899114
3,300,542306
1,999,1792106
2,492,899607
3,309,542616
1,1000,1793106
2,507,900114
3,290,542906
1,1000,1794106
2,492,900606
3,301,543208
1,1000,1795106
2,507,901114
3,298,543506
1,1000,1796106
2,492,901607
3,300,543807
1,999,1797106
2,507,902114
3,316,544124
1,1000,1798106
2,492,902607
3,282,544406
1,1000,1799106
2,507,903114
3,301,544708
1,1000,1800106
2,492,903606
3,298,545006
1,1000,1801106
2,507,904114
3,300,545306
1,999,1802106
2,492,904607
3,309,545616
1,1000,1803106
2,507,905114
3,290,545906
1,999,1804106
2,492,905607
3,301,546208
1,999,1805106
2,507,906114
3,298,546506
1,1000,1806106
2,492,906607
3,300,546806
1,999,1807106
2,507,907114
3,317,547124
1,1000,1808106
2,492,907607
3,282,547406
1,1000,1809106
2,507,908114
3,301,547708
1,1000,1810106
2,492,908607
3,298,548006
1,1000,1811106
2,507,909114
3,299,548306
1,999,1812106
2,492,909606
3,309,548616
1,999,1813106
2,507,910114
3,290,548906
1,1000,1814106
2,492,910606
3,301,549208
1,1000,1815106
2,507,911114
3,298,549506
1,999,1816106
2,492,911606
3,300,549806
1,999,1817106
2,507,912114
3,317,550124
1,1000,1818106
2,492,912607
3,282,550406
1,1000,1819106
2,507,913114
3,301,550708
1,1000,1820106
2,492,913607
3,298,551006
1,999,1821106
2,507,914114
3,300,551306
1,999,1822106
2,492,914607
3,309,551616
1,1000,1823106
2,507,915114
3,290,551906
1,999,1824106
2,492,915606
3,301,552208
1,1000,1825106
2,507,916114
3,298,552506
1,999,1826106
2,492,916606
3,300,552806
1,1000,1827106
2,507,917114
3,317,553124
1,999,1828106
2,492,917607
3,282,553406
1,1000,1829106
2,507,918114
3,301,553708
1,999,1830106
2,492,918607
3,298,554006
1,1000,1831106
2,507,919114
3,300,554306
1,999,1832106
2,492,919606
3,309,554616
1,999,1833106
2,507,920114
3,290,554906
1,999,1834106
2,492,920607
3,301,555208
1,1000,1835106
2,507,921114
3,298,555506
1,999,1836106
2,492,921607
3,300,555807
1,1000,1837106
2,507,922114
3,317,556124
1,1000,1838106
2,492,922607
3,282,556406
1,1000,1839106
2,507,923114
3,301,556708
1,999,1840106
2,492,923607
3,298,557006
1,1000,1841106
2,507,924114
3,300,557306
1,999,1842106
2,492,924607
3,309,557616
1,1000,1843106
2,507,925114
3,290,557906
1,999,1844106
2,492,925607
3,301,558208
1,1000,1845106
2,507,926114
3,298,558506
1,999,1846106
2,492,926607
3,300,558807
1,1000,1847106
2,507,927114
3,317,559124
1,1000,1848106
2,492,927607
3,282,559406
1,1000,1849106
2,507,928114
3,301,559708
1,1000,1850106
2,492,928606
3,298,560006
1,999,1851106
2,507,929114
3,300,560306
1,1000,1852106
2,492,929607
3,309,560616
1,999,1853106
2,507,930114
3,290,560906
1,1000,1854106
2,492,930606
3,301,561208
1,999,1855106
2,507,931114
3,298,561506
1,1000,1856106
2,492,931607
3,300,561807
1,999,1857106
2,507,932114
3,316,562123
1,1000,1858106
2,492,932607
3,282,562406
1,999,1859106
2,507,933114
3,301,562708
1,1000,1860106
2,492,933607
3,298,563006
1,999,1861106
2,507,934114
3,300,563306
1,1000,1862106
2,492,934607
3,309,563616
1,999,1863106
2,507,935114
3,290,563906
1,1000,1864106
2,492,935607
3,301,564208
1,1000,1865106
2,507,936114
3,298,564506
1,999,1866106
2,492,936606
3,300,564807
1,999,1867106
2,507,937114
3,316,565124
1,1000,1868106
2,492,937607
3,282,565406
1,1000,1869106
2,507,938114
3,301,565708
1,999,1870106
2,492,938607
3,298,566006
1,999,1871106
2,507,939114
3,300,566306
1,1000,1872106
2,492,939606
3,309,566616
1,1000,1873106
2,507,940114
3,290,566906
1,999,1874106
2,492,940607
3,301,567208
1,999,1875106
2,507,941114
3,298,567506
1,1000,1876106
2,492,941607
3,300,567806
1,1000,1877106
2,507,942114
3,317,568124
1,999,1878106
2,492,942606
3,282,568406
1,999,1879106
2,507,943114
3,301,568708
1,1000,1880106
2,492,943607
3,298,569006
1,999,1881106
2,507,944114
3,300,569306
1,1000,1882106
2,492,944607
3,309,569616
1,999,1883106
2,507,945114
3,290,569906
1,1000,1884106
2,492,945606
3,301,570208
1,1000,1885106
2,507,946114
3,298,570506
1,1000,1886106
2,492,946606
3,300,570807
1,1000,1887106
2,507,947114
3,317,571124
1,999,1888106
2,492,947607
3,282,571406
1,1000,1889106
2,507,948114
3,301,571708
1,1000,1890106
2,492,948606
3,298,572006
1,999,1891106
2,507,949114
3,299,572306
1,999,1892106
2,492,949607
3,309,572616
1,1000,1893106
2,507,950114
3,290,572906
1,1000,1894106
2,492,950607
3,301,573208
1,999,1895106
2,507,951114
3,298,573506
1,999,1896106
2,492,951606
3,300,573807
1,1000,1897106
2,507,952114
3,316,574124
1,1000,1898106
2,492,952607
3,282,574406
1,1000,1899106
2,507,953114
3,301,574708
1,999,1900106
2,492,953607
3,298,575006
1,1000,1901106
2,507,954114
3,299,575306
1,1000,1902106
2,492,954606
3,309,575616
1,1000,1903106
2,507,955114
3,290,575906
1,999,1904106
2,492,955606
3,301,576208
1,1000,1905106
2,507,956114
3,298,576506
1,999,1906106
2,492,956607
3,300,576807
1,1000,1907106
2,507,957114
3,316,577123
1,999,1908106
2,492,957606
3,282,577406
1,1000,1909106
2,507,958114
3,301,577708
1,1000,1910106
2,492,958607
3,298,578006
1,1000,1911106
2,507,959114
3,299,578306
1,999,1912106
2,492,959607
3,309,578616
1,1000,1913106
2,507,960114
3,290,578906
1,1000,1914106
2,492,960606
3,301,579208
1,999,1915106
2,507,961114
3,298,579506
1,999,1916106
2,492,961607
3,300,579806
1,1000,1917106
2,507,962114
3,317,580124
1,1000,1918106
2,492,962607
3,282,580406
1,1000,1919106
2,507,963114
3,301,580708
1,999,1920106
2,492,963607
3,298,581006
1,999,1921106
2,507,964114
3,300,581306
1,1000,1922106
2,492,964606
3,309,581616
1,1000,1923106
2,507,965114
3,290,581906
1,999,1924106
2,492,965607
3,301,582208
1,1000,1925106
2,507,966114
3,298,582506
1,999,1926106
2,492,966607
3,300,582807
1,1000,1927106
2,507,967114
3,317,583124
1,999,1928106
2,492,967607
3,282,583406
1,1000,1929106
2,507,968114
3,301,583708
1,1000,1930106
2,492,968607
3,298,584006
1,1000,1931106
2,507,969114
3,300,584306
1,999,1932106
2,492,969607
3,309,584616
1,1000,1933106
2,507,970114
3,290,584906
1,1000,1934106
2,492,970607
3,301,585208
1,1000,1935106
2,507,971114
3,298,585506
1,999,1936106
2,492,971607
3,300,585806
1,1000,1937106
2,507,972114
3,317,586124
1,1000,1938106
2,492,972606
3,282,586406
1,999,1939106
2,507,973114
3,301,586708
1,1000,1940106
2,492,973606
3,298,587006
1,1000,1941106
2,507,974114
3,299,587306
1,1000,1942106
2,492,974607
3,309,587616
1,1000,1943106
2,507,975114
3,290,587906
1,1000,1944106
2,492,975606
3,301,588208
1,999,1945106
2,507,976114
3,298,588506
1,1000,1946106
2,492,976606
3,300,588807
1,999,1947106
2,507,977114
3,317,589124
1,1000,1948106
2,492,977606
3,282,589406
1,1000,1949106
2,507,978114
3,301,589708
1,999,1950106
2,492,978606
3,298,590006
1,1000,1951106
2,507,979114
3,299,590306
1,1000,1952106
2,492,979607
3,309,590616
1,1000,1953106
2,507,980114
3,290,590906
1,999,1954106
2,492,980607
3,301,591208
1,1000,1955106
2,507,981114
3,298,591506
1,1000,1956106
2,492,981606
3,300,591806
1,1000,1957106
2,507,982114
3,317,592124
1,999,1958106
2,492,982606
3,282,592406
1,1000,1959106
2,507,983114
3,301,592708
1,1000,1960106
2,492,983607
3,298,593006
1,999,1961106
2,507,984114
3,300,593306
1,999,1962106
2,492,984607
3,309,593616
1,999,1963106
2,507,985114
3,290,593906
1,1000,1964106
2,492,985607
3,301,594208
1,999,1965106
2,507,986114
