clk,period,time
3,298,51506
1,999,156107
2,492,81607
3,300,51807
1,1000,157107
2,507,82114
3,317,52124
1,999,158106
2,492,82607
3,282,52406
1,1000,159107
2,507,83114
3,301,52708
1,999,160107
2,492,83607
3,298,53006
1,1000,161107
2,507,84114
3,300,53306
1,999,162106
2,492,84607
3,309,53616
1,1000,163107
2,507,85114
3,290,53906
1,999,164107
2,492,85607
3,301,54208
1,1000,165107
2,507,86114
3,298,54506
1,999,166107
2,492,86607
3,300,54806
1,999,167106
2,507,87114
3,317,55123
1,1000,168107
2,492,87607
3,282,55406
1,1000,169107
2,507,88114
3,301,55708
1,1000,170107
2,492,88607
3,298,56006
1,1000,171107
2,507,89114
3,299,56306
1,999,172107
2,492,89607
3,309,56616
1,999,173106
2,507,90114
3,290,56906
1,1000,174106
2,492,90606
3,301,57208
1,1000,175107
2,507,91114
3,298,57506
1,1000,176107
2,492,91607
3,300,57806
1,999,177106
2,507,92114
3,317,58124
1,1000,178107
2,492,92607
3,282,58406
1,999,179107
2,507,93114
3,301,58708
1,1000,180107
2,492,93607
3,298,59006
1,999,181107
2,507,94114
3,299,59306
1,999,182107
2,492,94607
3,309,59616
1,999,183107
2,507,95114
3,290,59906
1,1000,184107
2,492,95607
3,301,60208
1,999,185106
2,507,96114
3,298,60506
1,1000,186107
2,492,96606
3,300,60807
1,999,187106
2,507,97114
3,317,61124
1,1000,188107
2,492,97606
3,282,61406
1,1000,189107
2,507,98114
3,301,61708
1,999,190106
2,492,98607
3,298,62006
1,1000,191107
2,507,99114
3,300,62306
1,999,192107
2,492,99606
3,309,62616
1,999,193107
2,507,100114
3,290,62906
1,999,194106
2,492,100607
3,301,63208
1,1000,195106
2,507,101114
3,298,63506
1,1000,196107
2,492,101607
3,300,63806
1,999,197106
2,507,102114
3,317,64124
1,1000,198107
2,492,102607
3,282,64406
1,1000,199107
2,507,103114
3,301,64708
1,999,200107
2,492,103606
3,298,65006
1,999,201106
2,507,104114
3,300,65306
1,1000,202107
2,492,104606
3,309,65616
1,999,203107
2,507,105114
3,290,65906
1,999,204106
2,492,105606
3,301,66208
1,1000,205107
2,507,106114
3,298,66506
1,999,206106
2,492,106607
3,300,66807
1,1000,207107
2,507,107114
3,317,67124
1,999,208106
2,492,107607
3,282,67406
1,999,209106
2,507,108114
3,301,67708
1,1000,210107
2,492,108606
3,298,68006
1,1000,211107
2,507,109114
3,300,68306
1,1000,212107
2,492,109607
3,309,68616
1,1000,213107
2,507,110114
3,290,68906
1,999,214106
2,492,110606
3,301,69208
1,1000,215106
2,507,111114
3,298,69506
1,1000,216107
2,492,111607
3,300,69807
1,999,217107
2,507,112114
3,317,70124
1,1000,218107
2,492,112607
3,282,70406
1,999,219106
2,507,113114
3,301,70708
1,1000,220106
2,492,113607
3,298,71006
1,1000,221107
2,507,114114
3,300,71306
1,1000,222107
2,492,114607
3,309,71616
1,1000,223107
2,507,115114
3,290,71906
1,999,224107
2,492,115606
3,301,72208
1,999,225106
2,507,116114
3,298,72506
1,1000,226107
2,492,116607
3,300,72807
1,999,227106
2,507,117114
3,316,73124
1,1000,228107
2,492,117606
3,282,73406
1,999,229107
2,507,118114
3,301,73708
1,999,230106
2,492,118607
3,298,74006
1,1000,231106
2,507,119114
3,300,74306
1,1000,232107
2,492,119607
3,309,74616
1,999,233106
2,507,120114
3,290,74906
1,1000,234107
2,492,120606
3,301,75208
1,1000,235107
2,507,121114
3,298,75506
1,999,236107
2,492,121607
3,300,75806
1,1000,237107
2,507,122114
3,317,76123
1,1000,238107
2,492,122607
3,282,76406
1,999,239106
2,507,123114
3,301,76708
1,1000,240106
2,492,123607
3,298,77006
1,1000,241107
2,507,124114
3,299,77306
1,1000,242107
2,492,124607
3,309,77616
1,1000,243107
2,507,125114
3,290,77906
1,1000,244107
2,492,125606
3,301,78208
1,1000,245107
2,507,126114
3,298,78506
1,999,246106
2,492,126606
3,300,78807
1,999,247106
2,507,127114
3,316,79124
1,1000,248106
2,492,127606
3,282,79406
1,999,249106
2,507,128114
3,301,79708
1,1000,250107
2,492,128607
3,298,80006
1,999,251107
2,507,129114
3,299,80306
1,1000,252107
2,492,129606
3,309,80616
1,1000,253107
2,507,130114
3,290,80906
1,999,254107
2,492,130607
3,301,81208
1,1000,255107
2,507,131114
3,298,81506
1,1000,256107
2,492,131606
3,300,81807
1,999,257106
2,507,132114
3,316,82124
1,1000,258107
2,492,132606
3,282,82406
1,999,259107
2,507,133114
3,301,82708
1,999,260106
2,492,133607
3,298,83006
1,1000,261107
2,507,134114
3,300,83306
1,999,262106
2,492,134607
3,309,83616
1,1000,263107
2,507,135114
3,290,83906
1,1000,264107
2,492,135607
3,301,84208
1,1000,265107
2,507,136114
3,298,84506
1,999,266106
2,492,136606
3,300,84806
1,1000,267107
2,507,137114
3,317,85124
1,999,268106
2,492,137606
3,282,85406
1,999,269106
2,507,138114
3,301,85708
1,1000,270107
2,492,138607
3,298,86006
1,1000,271107
2,507,139114
3,300,86307
1,999,272106
2,492,139606
3,309,86616
1,1000,273107
2,507,140114
3,290,86906
1,999,274106
2,492,140607
3,301,87208
1,999,275106
2,507,141114
3,298,87506
1,1000,276107
2,492,141607
3,300,87807
1,999,277107
2,507,142114
3,316,88124
1,1000,278107
2,492,142607
3,282,88406
1,1000,279107
2,507,143114
3,301,88708
1,999,280106
2,492,143606
3,298,89006
1,1000,281106
2,507,144114
3,300,89306
1,1000,282107
2,492,144607
3,309,89616
1,999,283107
2,507,145114
3,290,89906
1,999,284106
2,492,145607
3,301,90208
1,1000,285106
2,507,146114
3,298,90506
1,1000,286107
2,492,146607
3,300,90807
1,999,287107
2,507,147114
3,317,91124
1,999,288107
2,492,147606
3,282,91406
1,1000,289107
2,507,148114
3,301,91708
1,999,290106
2,492,148607
3,298,92006
1,999,291106
2,507,149114
3,300,92306
1,1000,292107
2,492,149607
3,309,92616
1,999,293106
2,507,150114
3,290,92906
1,1000,294106
2,492,150606
3,301,93208
1,999,295106
2,507,151114
3,298,93506
1,1000,296106
2,492,151607
3,300,93806
1,1000,297107
2,507,152114
3,317,94124
1,1000,298107
2,492,152607
3,282,94406
1,999,299107
2,507,153114
3,301,94708
1,999,300106
2,492,153607
3,298,95006
1,1000,301106
2,507,154114
3,300,95306
1,1000,302107
2,492,154606
3,309,95616
1,999,303106
2,507,155114
3,290,95906
1,1000,304107
2,492,155607
3,301,96208
1,999,305106
2,507,156114
3,298,96506
1,1000,306107
2,492,156606
3,300,96806
1,1000,307107
2,507,157114
3,317,97124
1,999,308107
2,492,157607
3,282,97406
1,1000,309107
2,507,158114
3,301,97708
1,999,310106
2,492,158607
3,298,98006
1,999,311106
2,507,159114
3,300,98306
1,1000,312107
2,492,159606
3,309,98616
1,1000,313107
2,507,160114
3,290,98906
1,999,314107
2,492,160607
3,301,99208
1,1000,315107
2,507,161114
3,298,99506
1,999,316106
2,492,161607
3,300,99807
1,1000,317107
2,507,162114
3,316,100123
1,999,318107
2,492,162606
3,282,100406
1,1000,319107
2,507,163114
3,301,100708
1,999,320107
2,492,163606
3,298,101006
1,999,321106
2,507,164114
3,299,101306
1,999,322106
2,492,164607
3,309,101616
1,1000,323106
2,507,165114
3,290,101906
1,1000,324107
2,492,165607
3,301,102208
1,1000,325107
2,507,166114
3,298,102506
