clk,time
1,16664
2,11428
2,4202
1,1111
2,866
3,22861
2,5398
1,1411
2,5384
2,4022
2,3791
3,21817
1,14571
2,1065
2,6399
1,14639
2,9818
1,9774
3,28595
2,1259
2,2652
1,19475
2,10215
2,1984
3,2237
1,6991
2,2986
2,1044
1,3811
2,2249
2,686
3,782
2,3015
1,4888
2,1708
2,1851
3,7612
1,7743
2,529
1,2994
2,4824
2,2432
1,5245
2,2856
3,15346
2,3479
1,824
2,3472
2,2078
3,7647
1,675
2,4573
2,2762
2,86
1,63
2,2682
3,12594
2,4551
1,6648
2,2
1,3617
2,3714
2,1001
3,11069
1,6413
2,5976
2,1044
1,4219
2,2203
3,7348
2,2208
1,3433
2,2205
2,734
2,1446
3,6541
1,5869
2,3279
2,2725
1,4274
2,2132
1,3592
3,11136
2,5054
2,1841
1,5249
2,2524
2,1898
3,10144
1,8271
2,5413
2,5367
1,12711
2,8254
2,2125
3,2454
2,8076
1,1841
2,8738
2,1088
3,13759
1,6166
2,3847
1,2253
2,1237
2,1656
1,2716
2,2117
3,7795
2,1188
1,441
2,2721
2,1091
3,6017
1,4359
2,3774
2,728
2,1408
1,4342
2,1181
3,7191
2,2208
1,349
2,2209
1,2201
2,2297
2,594
3,7045
1,4202
2,4184
2,1031
1,4838
2,2207
3,7641
2,2208
1,3443
2,2218
2,724
2,1456
3,5526
1,5863
2,3269
2,2445
1,5199
2,3048
1,3001
3,11178
2,4132
2,1544
1,5542
2,3437
2,144
3,9517
1,6
2,5069
2,6376
1,11515
2,934
2,2655
3,28292
2,9147
1,25494
2,9816
2,1087
3,14886
1,6221
2,3848
1,2255
2,1226
2,1666
1,2705
2,2117
3,7796
2,1178
1,4418
2,2735
2,1365
3,6587
1,5027
2,4442
2,83
2,1223
1,4641
2,2592
3,796
2,2592
1,5268
2,1376
1,2594
2,2677
2,1909
3,8369
1,5038
2,3711
2,2877
1,7594
2,6905
3,1391
2,3613
1,10562
2,6091
2,1102
2,3371
3,14126
1,10582
2,6719
2,1034
1,5951
2,2262
1,1183
3,1126
2,2872
2,1659
1,4396
2,264
2,5542
3,16583
1,19354
2,13383
2,1109
1,449
2,2253
2,689
3,12764
2,2067
1,4963
2,2734
2,1085
3,6138
1,4401
2,3776
1,2251
2,1222
2,1665
1,2714
2,2121
3,7723
2,2206
1,4407
2,1702
2,2166
3,6773
1,5827
2,3842
2,1433
2,1163
1,5193
2,2598
3,913
2,2601
1,5281
2,398
1,399
2,2688
2,1298
3,10396
1,5044
2,4316
2,4029
1,10496
2,9262
3,21049
2,9276
1,18584
2,9266
2,475
2,394
3,23578
1,18884
2,14352
2,1112
1,8053
2,2255
1,1187
3,15381
2,287
2,1669
1,4397
2,2641
2,5026
3,1557
1,17758
2,1626
2,3824
1,12324
2,4696
2,2868
3,24722
2,4504
1,12028
2,5164
2,1086
3,9771
1,5671
2,3781
1,2249
2,1232
2,1655
1,2711
2,2115
3,771
2,2215
1,441
2,1704
2,1651
3,5864
1,579
2,3903
2,1021
2,2051
1,4844
2,1766
3,10131
2,3347
1,52
2,1767
1,3069
2,3165
2,883
3,8706
1,4429
2,5413
2,1031
1,5402
2,2208
3,8499
2,2212
1,3445
2,2203
2,735
2,1453
3,5522
1,5858
2,3274
2,2061
1,4333
2,3698
1,3659
3,12098
2,4001
2,2677
1,6537
2,2475
2,1852
3,7537
1,478
2,323
2,1034
1,4551
2,2256
2,689
3,8427
2,3018
1,4883
2,171
2,1899
3,7711
1,6181
2,5539
1,4908
2,3204
2,248
1,3785
2,3062
3,14238
2,389
1,704
2,3673
2,3311
3,10301
1,10194
2,6041
2,201
2,173
1,7728
2,3743
3,13621
2,3981
1,7816
2,3738
1,3744
2,384
2,1876
3,1325
1,7582
2,6274
2,6003
1,11208
2,5874
3,23005
2,9689
1,15602
2,5859
2,6723
2,2669
3,21068
1,18222
2,945
2,103
1,642
2,2256
1,1181
3,12187
2,2882
2,1658
1,4392
2,2634
2,4637
3,14767
1,16486
2,14918
2,6544
1,14759
2,10137
2,2879
3,32127
2,9947
1,2292
2,6269
2,2487
3,18955
1,11675
2,6522
1,3757
2,3928
2,3069
1,681
2,3783
3,17253
2,5881
1,7586
2,4396
2,1091
3,996
1,6786
2,3769
2,729
2,1411
1,4343
2,1179
3,7191
2,2211
1,3491
2,2207
1,2209
2,2298
2,595
3,7052
1,42
2,4176
2,1037
1,4834
2,221
3,7632
2,2213
1,3437
2,2203
2,735
2,1442
3,553
1,5871
2,3277
2,1857
1,5543
2,3208
1,3155
3,12608
2,6318
2,766
1,6219
2,4561
2,7597
3,1828
1,18229
2,12131
2,3827
1,12238
2,8381
2,401
3,28222
2,8192
1,20535
2,8852
2,4675
3,23191
1,20172
2,11842
1,6731
2,10611
2,1377
1,11647
2,10469
3,30375
2,6688
1,17253
2,7051
2,4085
3,21123
1,15194
2,13936
2,4825
2,448
1,18597
2,9298
3,28518
2,5193
1,1458
2,9297
1,9309
2,9332
2,4618
3,32364
1,14285
2,10308
2,1105
1,7975
2,2212
3,9738
2,2213
1,3439
2,2207
2,724
2,1456
3,6546
1,587
2,327
2,3559
1,5059
2,2482
1,4386
3,13111
2,6855
2,2237
1,8943
2,287
2,4541
3,14046
1,10099
2,11464
2,1478
1,10728
2,3086
2,2619
3,17559
2,2904
1,7013
2,4019
2,3454
3,9883
1,8952
2,4562
1,434
2,4341
2,358
1,586
2,3707
3,14761
2,4793
1,7245
2,4809
2,5179
3,18345
1,18774
